	buying	maint	doors	persons	lug_boot	safety	car_evaluation
130	vhigh	low	5more	more	small	med	unacc
131	vhigh	med	2	2	big	high	unacc
132	vhigh	high	2	more	med	low	unacc
133	low	vhigh	4	2	med	high	unacc
134	low	med	5more	2	small	low	unacc
135	high	vhigh	5more	4	small	high	unacc
136	med	med	5more	more	big	high	vgood
137	vhigh	low	2	4	med	high	acc
138	vhigh	med	2	2	med	low	unacc
139	low	low	5more	4	small	low	unacc
140	vhigh	vhigh	3	4	big	high	unacc
141	high	med	3	4	med	med	acc
142	low	low	5more	2	med	high	unacc
143	vhigh	vhigh	3	more	med	low	unacc
144	med	med	5more	2	small	low	unacc
145	low	low	2	2	small	low	unacc
146	med	vhigh	2	4	big	low	unacc
147	high	vhigh	3	4	big	high	unacc
148	med	low	3	4	big	med	good
149	low	vhigh	2	4	med	low	unacc
150	low	high	5more	2	big	low	unacc
151	high	med	2	2	med	high	unacc
152	high	vhigh	5more	more	small	high	unacc
153	vhigh	vhigh	2	4	big	low	unacc
154	high	med	3	4	small	low	unacc
155	vhigh	high	4	2	small	med	unacc
156	med	med	5more	2	big	low	unacc
157	vhigh	low	4	more	small	med	unacc
158	med	low	4	more	small	med	acc
159	high	high	3	more	small	high	acc
160	med	low	4	more	big	low	unacc
161	med	high	3	2	med	med	unacc
162	vhigh	vhigh	4	more	med	high	unacc
163	low	high	5more	4	med	med	acc
164	high	vhigh	5more	4	med	low	unacc
165	high	med	4	more	small	high	acc
166	med	med	3	more	med	low	unacc
167	high	vhigh	4	4	small	low	unacc
168	med	high	2	2	med	med	unacc
169	low	vhigh	4	2	small	med	unacc
170	vhigh	med	4	more	med	med	acc
171	med	high	3	4	med	high	acc
172	high	med	3	more	big	low	unacc
173	vhigh	low	2	more	med	high	acc
174	med	vhigh	5more	4	big	low	unacc
175	high	vhigh	3	more	small	med	unacc
176	low	low	3	4	big	med	good
177	vhigh	vhigh	2	4	small	high	unacc
178	vhigh	low	3	4	med	med	unacc
179	vhigh	vhigh	5more	4	small	high	unacc
180	high	high	4	2	med	low	unacc
181	low	high	3	4	med	med	unacc
182	med	high	2	more	big	med	acc
183	low	high	4	more	big	low	unacc
184	low	low	4	4	small	med	acc
185	med	high	2	2	small	low	unacc
186	med	vhigh	5more	more	small	high	acc
187	med	low	5more	4	small	low	unacc
188	low	low	3	4	small	high	good
189	low	low	2	4	med	low	unacc
190	vhigh	low	2	4	big	med	acc
191	low	med	2	4	med	high	good
192	low	vhigh	5more	2	small	med	unacc
193	med	vhigh	4	more	small	low	unacc
194	high	high	5more	more	med	med	acc
195	med	high	3	more	med	low	unacc
196	med	low	2	4	small	med	acc
197	high	vhigh	3	4	big	low	unacc
198	vhigh	vhigh	4	2	big	high	unacc
199	low	med	4	2	big	med	unacc
200	low	vhigh	4	4	med	low	unacc
201	low	med	2	2	med	med	unacc
202	vhigh	low	3	more	med	low	unacc
203	high	med	3	more	big	high	acc
204	med	low	5more	2	small	med	unacc
205	vhigh	med	4	4	med	high	acc
206	vhigh	vhigh	4	more	small	med	unacc
207	low	med	2	more	small	low	unacc
208	low	vhigh	2	4	big	low	unacc
209	med	high	4	more	med	high	acc
210	vhigh	med	5more	4	big	med	acc
211	low	med	3	4	big	low	unacc
212	vhigh	low	3	4	med	low	unacc
213	med	med	3	2	small	low	unacc
214	low	med	3	more	small	low	unacc
215	low	low	5more	more	med	high	vgood
216	high	vhigh	3	4	med	high	unacc
217	med	low	5more	more	big	med	good
218	vhigh	low	5more	more	big	med	acc
219	high	high	4	4	med	med	acc
220	high	med	5more	4	small	med	unacc
221	med	vhigh	5more	2	small	low	unacc
222	low	low	5more	more	small	med	acc
223	low	vhigh	5more	4	small	high	acc
224	high	vhigh	4	4	big	high	unacc
225	low	med	4	more	med	high	vgood
226	low	vhigh	3	4	med	high	acc
227	high	low	3	4	big	low	unacc
228	vhigh	med	5more	2	small	high	unacc
229	high	med	4	2	big	high	unacc
230	low	med	3	more	small	high	good
231	med	med	4	more	small	med	acc
232	low	med	4	more	small	high	good
233	high	med	5more	4	big	med	acc
234	med	low	3	2	small	high	unacc
235	high	high	3	4	small	high	acc
236	vhigh	med	3	2	med	med	unacc
237	low	med	2	2	small	low	unacc
238	med	low	3	4	small	med	acc
239	high	low	2	4	med	high	acc
240	low	low	2	2	small	med	unacc
241	vhigh	high	2	4	big	med	unacc
242	high	med	2	2	big	med	unacc
243	high	low	3	4	big	med	acc
244	low	med	3	4	med	high	acc
245	high	low	5more	more	big	med	acc
246	low	med	3	more	med	med	acc
247	med	med	4	4	big	high	vgood
248	vhigh	high	3	4	med	low	unacc
249	med	vhigh	5more	more	big	low	unacc
250	vhigh	high	3	2	big	med	unacc
251	med	med	5more	more	big	low	unacc
252	vhigh	vhigh	2	more	med	high	unacc
253	vhigh	vhigh	3	2	big	high	unacc
254	high	med	5more	4	big	high	acc
255	med	high	3	2	big	low	unacc
256	high	vhigh	5more	2	med	low	unacc
257	high	high	5more	4	big	low	unacc
258	low	low	4	more	small	high	good
259	med	vhigh	3	more	med	med	acc
260	med	high	5more	more	med	low	unacc
261	vhigh	vhigh	4	more	small	high	unacc
262	vhigh	vhigh	4	4	small	med	unacc
263	low	low	3	more	small	low	unacc
264	vhigh	med	3	2	med	high	unacc
265	vhigh	med	3	2	big	low	unacc
266	high	low	4	more	med	med	acc
267	vhigh	med	5more	4	small	med	unacc
268	high	med	2	4	med	low	unacc
269	vhigh	high	2	2	small	med	unacc
270	low	vhigh	4	4	small	med	unacc
271	high	high	5more	4	med	med	acc
272	med	vhigh	2	more	small	high	unacc
273	high	vhigh	3	4	small	med	unacc
274	high	med	2	4	big	med	acc
275	low	med	2	4	small	low	unacc
276	vhigh	low	2	4	med	low	unacc
277	med	high	2	4	small	high	good
278	vhigh	low	5more	4	med	high	acc
279	med	med	4	4	small	high	acc
280	med	vhigh	3	4	big	low	unacc
281	high	low	3	more	big	low	unacc
282	med	vhigh	3	4	small	med	unacc
283	vhigh	low	3	more	med	high	acc
284	med	med	3	2	big	med	unacc
285	vhigh	high	5more	2	big	med	unacc
286	low	high	3	4	med	high	vgood
287	high	low	4	2	med	med	unacc
288	med	med	2	2	small	high	unacc
289	vhigh	med	3	4	med	low	unacc
290	high	med	4	2	big	med	unacc
291	low	low	2	4	med	med	acc
292	high	vhigh	5more	more	small	low	unacc
293	high	vhigh	4	2	small	low	unacc
294	med	low	5more	2	med	low	unacc
295	high	med	2	more	med	high	acc
296	low	low	3	more	med	high	vgood
297	med	high	3	more	small	high	acc
298	vhigh	high	3	2	big	low	unacc
299	vhigh	low	2	more	big	med	acc
300	vhigh	low	3	more	small	low	unacc
301	high	low	5more	4	small	high	acc
302	vhigh	med	5more	more	big	med	acc
303	med	high	5more	4	med	low	unacc
304	low	vhigh	5more	2	med	med	unacc
305	med	low	5more	2	big	low	unacc
306	low	high	2	more	small	med	unacc
307	low	high	5more	2	med	low	unacc
308	high	low	5more	more	big	low	unacc
309	vhigh	high	4	4	med	high	unacc
310	low	vhigh	2	2	small	med	unacc
311	med	low	4	4	small	med	acc
312	high	high	4	more	med	high	acc
313	med	med	5more	4	med	high	vgood
314	low	high	3	2	big	low	unacc
315	high	med	3	more	big	med	acc
316	high	low	2	2	small	low	unacc
317	vhigh	vhigh	4	2	med	low	unacc
318	low	high	2	4	med	high	acc
319	vhigh	low	4	more	med	med	acc
320	high	high	4	more	small	low	unacc
321	med	low	3	more	small	med	acc
322	med	med	5more	4	big	low	unacc
323	med	high	3	4	small	med	unacc
324	med	low	2	2	med	med	unacc
325	med	med	2	4	big	med	acc
326	vhigh	med	2	more	med	low	unacc
327	high	high	5more	more	big	low	unacc
328	vhigh	med	4	4	small	high	acc
329	low	med	3	more	small	med	acc
330	vhigh	vhigh	3	4	small	med	unacc
331	low	low	3	4	med	high	good
332	high	high	3	2	small	high	unacc
333	med	high	5more	2	med	high	unacc
334	high	med	2	4	small	low	unacc
335	high	med	2	more	big	med	acc
336	low	med	3	2	med	med	unacc
337	low	low	4	more	med	high	vgood
338	high	vhigh	2	4	med	med	unacc
339	med	vhigh	2	2	small	med	unacc
340	high	high	4	4	med	high	acc
341	vhigh	low	4	4	small	high	acc
342	vhigh	low	3	4	big	low	unacc
343	high	high	3	4	big	med	unacc
344	med	low	5more	4	big	med	good
345	vhigh	high	5more	more	med	med	unacc
